conv1,layer1.0.conv1,layer1.0.conv2,layer1.1.conv1,layer1.1.conv2,layer1.2.conv1,layer1.2.conv2,layer1.3.conv1,layer1.3.conv2,layer1.4.conv1,layer1.4.conv2,layer2.0.conv1,layer2.0.conv2,layer2.0.downsample.0,layer2.1.conv1,layer2.1.conv2,layer2.2.conv1,layer2.2.conv2,layer2.3.conv1,layer2.3.conv2,layer2.4.conv1,layer2.4.conv2,layer3.0.conv1,layer3.0.conv2,layer3.0.downsample.0,layer3.1.conv1,layer3.1.conv2,layer3.2.conv1,layer3.2.conv2,layer3.3.conv1,layer3.3.conv2,layer3.4.conv1,layer3.4.conv2,fc,epoch_num
0.0,0.0,0.0625,0.0,0.0625,0.0,0.0625,0.125,0.0625,0.0625,0.0625,0.0,0.0,0.09375,0.1875,0.0625,0.21875,0.09375,0.1875,0.1875,0.25,0.125,0.0,0.0,0.078125,0.109375,0.03125,0.09375,0.125,0.15625,0.125,0.171875,0.09375,,26
0.0,0.0625,0.0,0.0,0.0625,0.0,0.0625,0.0625,0.0625,0.0625,0.125,0.03125,0.0,0.0625,0.28125,0.09375,0.25,0.1875,0.25,0.15625,0.1875,0.15625,0.0,0.0,0.109375,0.109375,0.078125,0.09375,0.171875,0.203125,0.21875,0.21875,0.203125,,27
0.0,0.0625,0.0,0.0,0.0625,0.0,0.0625,0.0625,0.0625,0.0625,0.125,0.03125,0.0,0.0625,0.28125,0.09375,0.25,0.1875,0.25,0.15625,0.1875,0.15625,0.0,0.0,0.109375,0.109375,0.078125,0.09375,0.171875,0.203125,0.21875,0.21875,0.203125,,28
0.0,0.0625,0.0,0.0,0.0625,0.0,0.0625,0.0625,0.0625,0.0625,0.125,0.03125,0.0,0.0625,0.28125,0.09375,0.25,0.1875,0.25,0.15625,0.1875,0.15625,0.0,0.0,0.109375,0.109375,0.078125,0.09375,0.171875,0.203125,0.21875,0.21875,0.203125,,29
0.0,0.0625,0.0,0.0,0.0625,0.0,0.0625,0.0625,0.0625,0.0625,0.125,0.03125,0.0,0.0625,0.28125,0.09375,0.25,0.1875,0.25,0.15625,0.1875,0.15625,0.0,0.0,0.109375,0.109375,0.078125,0.09375,0.171875,0.203125,0.21875,0.21875,0.203125,,30
0.0,0.0625,0.0,0.0,0.0625,0.0,0.0625,0.0625,0.0625,0.0625,0.0,0.03125,0.03125,0.03125,0.28125,0.21875,0.3125,0.25,0.28125,0.28125,0.28125,0.1875,0.015625,0.0,0.25,0.140625,0.078125,0.078125,0.1875,0.25,0.25,0.328125,0.203125,,31
0.0,0.0625,0.0,0.0,0.0625,0.0,0.0625,0.0625,0.0625,0.0625,0.0,0.03125,0.03125,0.03125,0.28125,0.21875,0.3125,0.25,0.28125,0.28125,0.28125,0.1875,0.015625,0.0,0.25,0.140625,0.078125,0.078125,0.1875,0.25,0.25,0.328125,0.203125,,32
0.0,0.0625,0.0,0.0,0.0625,0.0,0.0625,0.0625,0.0625,0.0625,0.0,0.03125,0.03125,0.03125,0.28125,0.21875,0.3125,0.25,0.28125,0.28125,0.28125,0.1875,0.015625,0.0,0.25,0.140625,0.078125,0.078125,0.1875,0.25,0.25,0.328125,0.203125,,33
0.0,0.0625,0.0,0.0,0.0625,0.0,0.0625,0.0625,0.0625,0.0625,0.0,0.03125,0.03125,0.03125,0.28125,0.21875,0.3125,0.25,0.28125,0.28125,0.28125,0.1875,0.015625,0.0,0.25,0.140625,0.078125,0.078125,0.1875,0.25,0.25,0.328125,0.203125,,34
0.0,0.0625,0.0,0.0,0.0625,0.0,0.0625,0.0625,0.0625,0.0625,0.0,0.03125,0.03125,0.03125,0.28125,0.21875,0.3125,0.25,0.28125,0.28125,0.28125,0.1875,0.015625,0.0,0.25,0.140625,0.078125,0.078125,0.1875,0.25,0.25,0.328125,0.203125,,35
0.0,0.0625,0.0,0.0,0.0625,0.0,0.0625,0.0625,0.0625,0.0625,0.0,0.03125,0.03125,0.03125,0.28125,0.21875,0.3125,0.25,0.28125,0.28125,0.28125,0.1875,0.015625,0.0,0.25,0.140625,0.078125,0.078125,0.1875,0.25,0.25,0.328125,0.203125,,36
0.0,0.125,0.0625,0.0625,0.0625,0.0625,0.0625,0.25,0.125,0.0625,0.125,0.03125,0.0,0.125,0.34375,0.15625,0.3125,0.3125,0.375,0.25,0.28125,0.1875,0.015625,0.0,0.21875,0.171875,0.078125,0.109375,0.234375,0.25,0.265625,0.296875,0.234375,,37
0.0,0.125,0.0625,0.0625,0.0625,0.0625,0.0625,0.25,0.125,0.0625,0.125,0.03125,0.0,0.125,0.34375,0.15625,0.3125,0.3125,0.375,0.25,0.28125,0.1875,0.015625,0.0,0.21875,0.171875,0.078125,0.109375,0.234375,0.25,0.265625,0.296875,0.234375,,38
0.0,0.125,0.0625,0.0625,0.0625,0.0625,0.0625,0.25,0.125,0.0625,0.125,0.03125,0.0,0.125,0.34375,0.15625,0.3125,0.3125,0.375,0.25,0.28125,0.1875,0.015625,0.0,0.21875,0.171875,0.078125,0.109375,0.234375,0.25,0.265625,0.296875,0.234375,,39
0.0,0.125,0.0625,0.0625,0.0625,0.0625,0.0625,0.25,0.125,0.0625,0.125,0.03125,0.0,0.125,0.34375,0.15625,0.3125,0.3125,0.375,0.25,0.28125,0.1875,0.015625,0.0,0.21875,0.171875,0.078125,0.109375,0.234375,0.25,0.265625,0.296875,0.234375,,40
0.0,0.125,0.0625,0.1875,0.0625,0.0625,0.0625,0.25,0.125,0.0625,0.125,0.03125,0.0,0.15625,0.34375,0.125,0.3125,0.3125,0.4375,0.3125,0.3125,0.1875,0.015625,0.0,0.203125,0.171875,0.09375,0.125,0.265625,0.28125,0.3125,0.34375,0.296875,,41
0.0,0.125,0.0625,0.1875,0.0625,0.0625,0.0625,0.25,0.125,0.0625,0.125,0.03125,0.0,0.15625,0.34375,0.125,0.3125,0.3125,0.4375,0.3125,0.3125,0.1875,0.015625,0.0,0.203125,0.171875,0.09375,0.125,0.265625,0.28125,0.3125,0.34375,0.296875,,42
0.0,0.125,0.0625,0.1875,0.0625,0.0625,0.0625,0.25,0.125,0.0625,0.125,0.03125,0.0,0.15625,0.34375,0.125,0.3125,0.3125,0.4375,0.3125,0.3125,0.1875,0.015625,0.0,0.203125,0.171875,0.09375,0.125,0.265625,0.28125,0.3125,0.34375,0.296875,,43
0.0,0.125,0.0625,0.1875,0.0625,0.0625,0.0625,0.25,0.125,0.0625,0.125,0.03125,0.0,0.15625,0.34375,0.125,0.3125,0.3125,0.4375,0.3125,0.3125,0.1875,0.015625,0.0,0.203125,0.171875,0.09375,0.125,0.265625,0.28125,0.3125,0.34375,0.296875,,44
0.0,0.125,0.0625,0.1875,0.0625,0.0625,0.0625,0.25,0.125,0.0625,0.125,0.03125,0.0,0.15625,0.34375,0.125,0.3125,0.3125,0.4375,0.3125,0.3125,0.1875,0.015625,0.0,0.203125,0.171875,0.09375,0.125,0.265625,0.28125,0.3125,0.34375,0.296875,,45
0.0,0.125,0.125,0.125,0.0,0.0625,0.0625,0.25,0.0625,0.0625,0.25,0.0625,0.0,0.25,0.40625,0.21875,0.3125,0.25,0.34375,0.21875,0.28125,0.28125,0.015625,0.0,0.3125,0.15625,0.140625,0.125,0.328125,0.28125,0.3125,0.421875,0.265625,,46
0.0,0.125,0.125,0.125,0.0,0.0625,0.0625,0.25,0.0625,0.0625,0.25,0.0625,0.0,0.25,0.40625,0.21875,0.3125,0.25,0.34375,0.21875,0.28125,0.28125,0.015625,0.0,0.3125,0.15625,0.140625,0.125,0.328125,0.28125,0.3125,0.421875,0.265625,,47
0.0,0.125,0.125,0.125,0.0,0.0625,0.0625,0.25,0.0625,0.0625,0.25,0.0625,0.0,0.25,0.40625,0.21875,0.3125,0.25,0.34375,0.21875,0.28125,0.28125,0.015625,0.0,0.3125,0.15625,0.140625,0.125,0.328125,0.28125,0.3125,0.421875,0.265625,,48
0.0,0.125,0.125,0.125,0.0,0.0625,0.0625,0.25,0.0625,0.0625,0.25,0.0625,0.0,0.25,0.40625,0.21875,0.3125,0.25,0.34375,0.21875,0.28125,0.28125,0.015625,0.0,0.3125,0.15625,0.140625,0.125,0.328125,0.28125,0.3125,0.421875,0.265625,,49
0.0,0.125,0.125,0.125,0.0,0.0625,0.0625,0.25,0.0625,0.0625,0.25,0.0625,0.0,0.25,0.40625,0.21875,0.3125,0.25,0.34375,0.21875,0.28125,0.28125,0.015625,0.0,0.3125,0.15625,0.140625,0.125,0.328125,0.28125,0.3125,0.421875,0.265625,,50
